id_factura;id_producto;cantidad
947336;RFJN32R46A57E;12
799006;Y48V577R5IIT5;27
297571;351B4H8N0J908;15
241752;2M6239486EQ6O;3
229021;P4DG2V893UMLH;30
955885;37NS9RM973106;6
482332;B8WW2E95O3GOU;14
989255;3A8TF0I9BP06W;24
423725;VS8X6F4OJ3B8T;3
719347;6EB53KK74JWEK;25
582761;E8G2P36SCKN5R;11
392179;M62USZIN2FQ8T;23
700462;F1EFBBDCATOLP;1
328594;0E98OQ8C0RTRF;19
976223;1ZAXF5QYS562G;29
440884;BUQ4P8YA9531Q;25
408405;D9IUI4EPQA3A9;15
653483;2J5X190G40T1Y;2
596617;B0L238D2SVOR1;28
796606;WJL6S9RGTW9TB;2
507141;6GD7815E5GF5R;8
336293;WY79PA614NCG6;9
279099;O36B0514B2W9N;7
631803;32KRN49Z72Z0B;21
629230;D45Y918G09O26;27
427433;5S784LOD6778P;23
523404;38ZIF0KMJVK92;26
440926;1GL628287SD08;2
766371;RE2K8891Y5495;7
853887;Z01VG4DA3749K;25
559874;VVHQV0M8V5VLT;24
1005063;3ZQZ9I0700R98;19
671934;1S0Z6V7J8SH26;15
647164;F94S6B43F53LM;27
562474;1TR5G917AWD1N;18
616648;76EMC4851S933;22
827615;GNEGGJKH3AIRK;9
235461;U160390BWF6GT;17
882486;699BOE1C6S8SK;21
386500;0H9X4OATD06O7;3
573142;HG45FCM8607S2;18
751764;069N80ZYML99V;29
1007990;F757737Q5N4U9;21
356481;X00044D4K4Q68;23
625092;764BUX0INQ7Z1;1
449775;5TS7UY13Z4QPG;10
915675;U1T1JN0RCI23F;3
436141;2RVH90I3217A8;15
302528;LLJ8FMWM2XZ2S;15
494520;70G9MMU9Z0721;13
289430;GLMJYXGKL8JO6;24
934322;52ATZD2HV03Q6;8
386181;SZZ4ITS7GY565;27
699773;D87BIAKA310I0;15
843447;020069ESX4UC7;24
579674;H2F730D9IX968;22
431236;AA9D746UMQL81;29
717869;5ZV4L66N6WVR7;24
396445;648O02K645X9H;30
830410;C8F1563CJ6WA1;21
917505;1YT1V3NM5HB88;4
741433;1987B26SQ46N5;28
550894;02CT3IL017AB6;12
402029;J5GZ1B2W27XBM;9
385869;26377Y3K6DR5K;13
397800;3P0052ZT03283;12
381026;N8QRT95C5149V;26
659522;T4501PT135T2X;2
493641;LY6PZR5FP2876;29
878072;DSG3107B24I53;1
876780;IKL125KC22JLE;4
693676;J3P4J9N1QI9FQ;16
963101;3VWM82520H0ZG;1
578707;0F6RN4142YOI0;25
248168;UZ2SETDPTE04B;28
514121;1EU8ZU0676WKZ;15
757573;XZ8C7083CVZ8B;10
740899;J52T73XN2XD2J;18
779299;OKHFIR1LV2C48;5
772013;5UP1BZ5562I3U;2
488669;5H4S6B826QTTD;2
357711;9626G5A82B178;4
629443;N349F02M7N7UZ;13
850994;L6K0I405LO4HW;3
332103;3436CD615G9W9;12
418369;330D49V8P96XQ;6
767199;DHE96H8V0RVKO;2
535445;6ZF23R1F6M377;5
763092;88L4D8X2N2T14;3
430848;YO72NU3813X3G;22
981958;2455Q42WUN7RU;25
657541;8177OE7ITJXPH;27
532119;2QF058527DFJ3;6
343610;7K85497N8Y035;10
320049;741V3TSJL303X;10
782092;KJ53LTDT0IBN5;1
413452;0Q2687H78238D;20
895317;EHXCN62L41P03;2
337577;DC75F24JVK2G1;29
793494;P9V966IS05900;7
978786;63JW1WBGCE4H3;17
481885;99631K7075EXE;28
483085;Y1E8W1J7E6M2M;14
678240;2PW0CYZTG0Z91;16
724231;DGUVC40C9AYLF;12
384056;03AMY57S9317Y;27
356306;07VOVH52HK873;10
778972;48BYP4EX8M93R;29
544102;UYD7EXY03056Q;15
695016;MP2M1R26X35ZV;25
481666;O545L9WIMJBL2;16
391597;HS7QC61B22XC8;7
986584;9XYLREOB422Z8;19
513913;42OD00EXQ8PDX;6
437054;01NLHE0725YDW;27
499807;6793MR644AT7J;3
365626;WL790XU23WWQ7;24
861990;12750QO0O24VY;2
609849;4J7M5694T0392;2
926272;BXKEZ9S7E50V8;1
935086;DXL0578882L3Y;13
721691;12XKYUYP37F49;15
1005587;OZE71Z7L3GD93;11
511163;45SMS61N3G59O;1
442226;TYFF05FG0P99R;14
732994;5S5R73A6VBRW8;19
817921;HVS36LW8PA95L;6
791231;I33TTG39WJ388;10
233277;BO6Y96I7CIKP9;14
886266;OC35MQ3EGCJV8;8
767607;LRKL22A89E58I;17
761510;9H30B8P54MQ9I;17
683342;RFJN32R46A57E;30
1005642;551R8XRT3E129;14
482363;Z78TXCXT3VWRU;15
908297;QM774BES3XK54;27
841389;J096UP1MWO5V7;9
726803;5Y8G42O728EOH;10
458306;E2619EVEF352Y;21
982065;9GJD560368T7D;17
366623;FXJ28BZCPR6H9;16
841696;H0FNN16D0MZZ2;27
647443;MU5ZV6050345P;26
585558;C4W232NEWR45C;15
865233;8AX0BPX974MZU;29
780692;8NP5917ZIJ2Y5;23
454932;IM9LOEE4UYM01;23
550026;N6451VN38ELL7;28
604700;NTD47N4U46TFH;16
594810;7UJQWTUO00F47;30
773566;VZI0P0P7L69O7;1
384487;OMV64329X465O;12
830134;IM7481L3KR6WN;20
654215;J1B3K8736IH6W;10
467162;6XIGB1HQ7I4O2;29
824973;U3EP40J1521E3;10
615009;6Q0KFLOX0V94I;11
992533;4A34PSER78172;4
686300;ICF0GHVN24V86;21
940847;NTQF7H492GS3H;2
912145;7JRKD960FLF76;24
499792;ETRBVNV42HZL5;9
717409;33926BU4Q68I7;1
821504;MT3A8E368860V;9
828370;400A5OW30S5T0;11
829013;TM1VMIZ18EC00;8
248468;2218547UAHON4;6
856709;YO72NU3813X3G;25
764361;145L311N96YK5;16
675846;9AOYK39301LC2;18
262844;1UK1H3YH5YN9Z;19
402304;4JL6UF52W8U5B;20
692900;40N6EQH591182;6
810854;LF13O1G1R97G0;6
426133;99SM0584C4210;7
290325;8FK403N82PS09;19
991605;32NO1H91F3NIS;11
916214;221S7980Q8689;7
1010319;W7571I85X0W2N;7
638186;DH0R039L770Z4;11
287297;6W8Q42AOFEPO3;28
709109;IINI784Q548ML;7
915049;31DH8F05O7P45;30
594168;1950LZ6WE0SN4;27
460184;8ZZ7F181CS9UQ;26
566829;HTWI7939Q7W9F;14
661671;LW3WK8I96C21T;4
859429;DE52AK6U52894;1
834177;MS0JN7MELP8OD;8
873946;N4IU6H3CP273G;16
958838;82Y0OBK57MH43;1
473535;N0A01BA04ALIM;26
604896;80ERX7LMRLC6U;10
699882;3WZP1DO685JC1;13
984642;6658HQ8WRZ84G;17
246994;7T7H40V658DHW;5
947123;0ZL6I79Y9C9FR;11
899889;8G7T726CW01MO;28
743573;R81Q1X6KXB091;24
517419;260NH9NS74VF7;7
223460;52PF8BQNB66WH;5
890211;1GPC7MQ9SCQ7E;10
990145;ZF7M8P40DZ58P;9
978707;338698KSFDJ04;4
635983;70X1NK6U2JE8T;17
923940;OA38L7974P2O7;12
572298;Q93AF6K8GP9MQ;8
620485;C7KX77R5VF74C;22
655654;7VI9PPJ9WX86Y;15
279401;2349Y7HRFUR8U;26
910415;8ANXZ90356906;23
352078;BAOPVI1L3DQAC;14
931534;H8LRJ6BGKWSF3;14
925344;60G6MD213DES6;21
697506;99JA0594IW1W4;26
503492;6KY293MA36F8U;9
928135;G49AI76M82N9D;1
641715;8516DN809D5ZA;11
744067;06I6612EF9L6M;5
252931;05ZGR7XI877X0;3
512965;EO9J2U47CT952;12
250890;34HQL2J2U1P52;15
361484;9S5C1E9A4EM96;16
285248;AB7S9CGDX65GX;24
849449;OFR6X6MARC683;6
525413;6Z7R4NYJ1WK6S;2
740242;G5UK4O15XDR08;9
246487;3GX0TMI049S9O;7
410248;7T1O72N4SB3P4;30
686331;YQ6S7TOXH3I8S;17
320750;77601L170QXMP;18
722856;V34CAIMUV8F5P;23
802078;LWD9E0I0M6X33;29
854205;556945ZM15FHV;22
244095;JJ26HCB941778;11
558940;771T1Q88026UA;14
391853;ZBC0369MSFD3H;25
404652;RUEIA3EKYECC9;11
1000629;PZ09L445HHZ41;13
980593;P5745Z3ADY30B;14
819590;714KW1L2CVGHA;14
767960;Y0U8W76R802X0;8
1018978;439BP4628129C;24
626348;B49041I8RM79L;6
867434;70789K36U632C;24
734828;X98LS4M132L75;13
889089;YNMJY1J33WUM7;11
655770;3R14KV18A8009;20
352221;8I12086242QY7;9
572559;0N5W88U1BP0J6;11
249458;79W8H1GI1M4FC;21
268894;Y720140UNN621;21
655753;8D7YYLF29YDOK;19
961844;KFN4Q6Y61T3ER;19
422011;YNMJY1J33WUM7;4
580677;RE8EFQN08C099;19
471948;55O1PJS2OG6S1;2
277981;FR4O798L6U8UU;6
956478;MG4AT62640A50;23
314903;5XQ48KW6XR4ZT;5
251293;L91GR90Q9IZUS;8
416555;N0J06XXBO8U55;3
964135;29V9777B54A1B;7
572727;0TJ7X959UFPNS;13
847551;2RB6L9XZ1NR8T;9
679985;TY40Y6FCBL489;27
535606;CT61UZRQJQB10;6
454724;QL6808PCD4A32;24
872744;9A65291KLZC3O;15
1008867;19HR13U8BJK44;18
621112;JB6JZ34J462I3;8
795627;I45432QB6598G;7
319258;Y1C969H4KK1H2;14
859746;IDUZHRD91JJ89;8
439283;B5F30FC024605;28
560535;M73373772LGKA;12
781031;Y6V72ZXL2T1DM;15
1001994;RTC7NT2ZD17HU;2
613665;IXTNHTRBWB9SU;9
341619;C3E07B6285736;2
747532;4Z14Y12YVICOQ;6
631117;71340WO143XSL;10
232790;9O113SS9OS646;10
908776;XS2PPW1BWM0WH;3
773202;C48IWHK09FW1W;29
276866;7L001A98O8XH3;29
455024;K1L50WWK57BZI;2
324990;5XHZQB89MG57O;11
245166;44HY62YD19S86;11
655678;1S7Y2CN48C8KS;5
933804;UW027C1CRM714;17
802071;T635XJI747259;8
476019;PS6D75S48V082;15
272587;0Z6A742GG53Q6;12
390768;P982R3577238A;6
613488;V22VS875K3OVN;23
236408;MF6C2HH2UHXGS;20
479653;8R03B7711AL1X;8
703373;1T3RW80Q6L511;28
747139;3R57T5XM2F8ML;15
658327;3JA76U2H5KDK3;5
952073;YSIJQ4PJ667I0;15
810005;K512Q05SD1IPW;5
600101;6T2EG54XYXSKX;14
305811;1T3152MW9RE1X;6
868072;48999OAEDU6KI;29
992813;IQS3O3O41W335;7
221987;9ZJOO84X5GLG8;4
244931;0MX28D6BNO0J7;3
971450;XT2F1QC3R3B34;1
888304;4C9HFG61F636U;23
397232;IUS9416H2170R;29
553000;15R2P5CCM4PQY;24
649437;29SQT7ELSD5GW;9
810335;UDY90S7249217;16
407535;WBL1OL0ODF934;25
669397;21UE3412096W9;14
701971;9UGUU65Y2L41G;29
936541;C4NGS2F4C956S;26
844530;1457K8J2839F7;2
889113;002R635O8TB73;24
466985;954XJ2VRAP0W4;24
468226;PT214BNM4UF4U;10
694573;D6YGY937F17Z1;6
464230;700MG8295R5DE;23
436791;66P60CLNU3581;16
838979;699354V33X9U2;25
393163;7D67U55F7N240;28
840765;XK7TP459LJ6F3;2
231418;LZ89G16IGM3M0;17
382408;IARNOU02853AH;20
322141;E518OD700K14D;21
408150;JBDIKN8DVS96U;13
988245;NEQI7D9GI7306;6
448089;1304TV640688O;26
857450;H0XX2607P6IX2;8
875939;K84J2R93TWK18;10
396575;5A76698ICLQ38;7
805889;02YV1462UL96A;29
813923;9IKW2PF7WM9U1;5
234670;IGEPN8Y739W31;1
927964;M135573Y3A7T2;11
422663;BCYC40I6JKH6W;20
852365;M3D44BOXMW5O1;1
596515;UXP25MM1ELPOX;19
455109;3N7ZMVB8Y00S1;18
871459;TL3FP3U6YDZPZ;24
609423;8QV0G30181RNH;4
871568;4DQ1LZUI3Y49W;28
733190;5LEYTM40MK5GZ;21
733617;00700FAD18K85;10
536488;89C31MX78WTGI;4
966121;N0CQZM65478K0;6
678628;7KPZE77KUF5W7;10
577293;8FEH9WEV7CKLS;21
665924;31UXFI1M1909R;5
466565;I2783171YE4E3;3
541413;3P8UR67614CV4;21
526673;Z6AQ4P2S2M412;12
474585;V25J3ZZ63Q602;11
358004;31450QCI23G8Z;27
760601;X8BY94BML9640;30
418012;5IA0VJDW41399;27
371877;N6KOQ31D9GJ5Q;27
734437;IU387V13VZZ43;18
787427;V3553C1AB00PY;10
456439;6X526WUS2SG1G;4
561200;DRJAP39280L41;9
630571;V0DK8I3SBN96O;20
402557;6QET2X21697V6;28
655165;HU8T40J1M1D4V;5
538757;3TP7CMVW41IV6;16
412276;P6ZE35Q89V54X;14
548461;49B3BS78434KU;2
513349;MV8U05M87XXZE;27
226408;3A23S9LO28P7B;6
525970;W2T7GE1I47KWK;23
781291;09RDJRYH1E4TZ;6
490892;TGGJFW3G4H4S0;5
336989;9FB08O9987220;24
397956;70418N4RAO2HX;22
624870;G319FSIQ20AWW;9
221273;Y2H0VH5ASWO15;15
513931;244YP9N9GYG6C;17
654769;0WK3E73W1WQ6E;28
258815;GG86T21IT535E;8
558258;78FP5EW46H3PY;13
1016244;51YM4N0A3KP3E;7
1005321;8J403BO9HNKT5;20
661374;KKD8X3JS4DB7R;8
996650;01M5RU602R7H3;29
387050;44N76881NA9LZ;14
316345;2SDT3M3BRH31E;7
589198;3HF71867VNUI8;25
598936;I0SZ8I96FDS59;10
352038;P3L56X86OAZ19;13
898314;043EZ7PW93077;29
525647;WF11ST5X9C2Z8;11
727653;NSBA17G0OUIEF;14
239203;JD708R9F60U0J;1
533861;5130HF8QWLD34;20
225235;2CKF6C5PTES67;8
721338;6JF8XNAUF4H06;24
442175;35OS1WCO0HLX7;12
321751;E48E1FU94E841;27
706133;S6134IR5CG7X9;21
607386;862R410I10EZM;13
252278;5T43AIXT4VQOW;12
323692;042L8AT66VD8C;21
515952;N3JG8TM26ZB6I;13
503820;IC331E7FQCGLH;15
934386;K73K33IJL7K4V;9
923524;S11XA4D6PO2YE;22
336175;EF09DJ11R9SAW;2
581501;5J1ZR257Q9P63;26
947683;025BX2KL04WCG;2
976031;R7EJ454QT7TK0;2
329802;X52H7ULDJJ0B3;7
706881;49J2L79AO6X1J;25
771810;402A1E8JPDPL5;16
678835;2E256U4Z8017G;8
444202;8195K192946K6;6
554996;E9EA5XIE9N1VQ;7
671441;DZH2G71487358;14
880386;U50O1VLE0BN8Y;30
699681;0JC1AAP5ZFT6Y;22
662927;94LOG6KD4N41Y;23
373013;XR9NV550A00L5;4
279867;8X2Q4RP1C3KJX;19
708688;9006ML1HN6J1Y;21
645081;ZYTGUH9355H9R;4
273141;S08D807711S83;17
657663;8A3C51Q4GGZC3;26
375943;5UI8660NM2127;21
399204;S9EC7ISWBP2HV;6
507683;BGZGC1879ICVF;30
451438;0FHJKMW4333SQ;3
680872;Q981HN39Z9V0U;17
850544;TT32O14N5WKKM;15
991292;1IXGV5C777BZJ;14
614494;2862H5DE4D1HE;8
402366;D8GV5RL8ZM14C;5
904995;CL9UP41060Q18;17
976638;517P1Q476V5L9;14
423538;P74SN42104L20;13
418724;PYBY24CIK4G10;19
475166;P11O9D840EV04;29
632092;9Q78Y31J8E89U;17
442048;9754Z5DGRJMMZ;7
518185;B11MG95JD1O59;11
226298;8BAG6EKKO4Q06;18
523942;AJLP0O0HH4JYO;24
299067;626WL2QK1N1W7;18
417898;IW6J89855GXO6;5
537481;J5UGMS4OB064V;24
667157;8IAH28DSBHL45;30
785910;DQ04S8JM232U3;5
900238;3981854586HN7;24
276778;B4I60787TM1N9;24
593395;GSCPHHCB3P8KX;25
716397;J6363LC081509;2
733860;I05V419453H4S;29
931506;FWG54Q1362881;25
672780;USH4F37J1Z8BS;1
441731;855QI73W02F98;30
713592;592T137H37EA3;3
898871;7V7Q4Z495250U;16
921449;973FOJ4P089C3;7
808001;J7X9T1GPKG2O8;15
413767;P6430QB5HI9LU;1
269340;76B1OASXA5K3V;21
496340;801GKO8AMR8XR;4
714648;5ZD0JCEM7TIP3;14
920281;12AF24GD67L42;4
348074;MXU5061E1YJ2Z;27
480582;6KT11R7964V96;1
708326;UBLKTYM03F2LH;19
903851;QSD6971PB1Z8Y;21
514180;OS7G25MYH7032;25
374305;RKF5D7UX4X8I6;16
604837;36IF824L0EEYS;11
940740;EFB0RT3FH7V3I;7
369837;14101E3QU0Q9S;10
608623;ZAI028VF3DDE2;30
396231;3TIA24I9B95VW;9
301503;X9CXX1F98FE24;17
621608;94K9A0AEJWOIG;26
687328;BY976XY412ND7;6
258988;072ZKO0WU88D9;18
503139;B9X12G1PHB4K4;5
878224;02O9OM411495B;20
802309;6YP2AW5G3U41D;12
1013245;YY520O9A8JK1W;8
880120;3FHYWA151G5L6;11
222367;2L3X8S35X7089;20
602486;94V04S6414BGL;12
332686;K2213V99763T5;12
475151;3PEO6R209J33X;14
515529;2SW1EA2S4H13T;27
407622;VR3TQ72NNOJ55;17
768741;ZCKNC85PJ5BKH;14
892191;ZEK5634D2Q88Y;21
822745;XW51H43513NJC;18
779779;0VGZ1Q27Q3U3R;9
749112;N58WD211GXUR2;14
946744;7G9Z11UKO975J;27
616597;098660W97Z47G;8
759161;35319A8S92PJ6;23
829926;RTB409ZI20Y01;19
299741;ICT2QO6JLOJ0I;1
963891;T2TSN9D77ZTNJ;27
690859;T2W367LSJ8DH5;14
817446;44FXDR37LQJ5Q;25
234794;Z7IMH2E1UJRX1;3
1019051;NFGVL39LKK43Z;11
733518;Z642SVEC11E46;13
324684;VUPDVG74V439E;3
599638;W3ELFX0LQKB50;8
414711;2LJPPVWT546KR;19
635558;I6GQ4J515C1GM;1
349867;J5ZF1E21ZZYLM;1
696500;2VZ3442PV2A66;17
803553;O2312UP3IKE10;29
381036;5WC656169U0L0;24
426576;Y8RPIOK2DDL4Q;9
1003955;527DVIMOB4Q9E;2
940367;7897820GZGCH9;18
1009503;DT0I8M7J1G0Y5;18
296071;HNFXBU2378JKF;21
309619;53LY5NIF4ASY4;14
966680;7Z5X3X5MT9SH7;28
729607;11QIBN8WH67S8;26
331323;Z759BGCAHLU3G;12
226384;HDN8X01LBN90H;12
441766;88V4T4YNX82TT;9
835467;Y1766FF07000M;7
664857;2A0023D2XE8A0;2
574683;E11O38B1576CR;23
1012456;P58Y240MXI1LZ;17
849977;C2B1M4Z6FB55S;24
453719;5LYRR757J8R94;21
953417;716E57N5R5984;26
548438;897LJ1OT408HG;18
279710;J056LO68E9T18;24
789799;492RBVS7SBN87;26
318602;Z29YKA2V9600M;14
281208;EKU15K8449QHN;12
846765;48GT0TD10MJMS;7
927261;5I9I2E8R3N9JM;12
357951;1ZSAZU2BE65XH;5
271913;RNFJ818KAUL24;23
934881;8S6967J6E3135;20
793042;B8A9GV6D6LR91;15
514875;6R023WTF1U390;16
781526;5I8DWHE7H0CT2;13
331818;VVW27P2FP4FIQ;30
449408;G1C86CLG5YKL0;18
756620;57N948XDSJS08;3
721051;AEENG8MZD83T4;3
928308;BWZK7B3OU555H;7
263578;K2A4GX7DE6570;30
611893;036N3440917L1;15
541151;72N0N9RS96S6Y;5
651420;4WQ4PS291C7B3;10
768007;MG7OLQ8KQ9QMV;17
831795;10LZ5UP181826;1
714339;KH6LFM75182O2;9
956922;CLA5SY23XGLGY;22
342219;BZ9N7A27O3627;14
583401;84739E5IR9D51;4
756706;134994SR57477;11
542967;8A65AA0791237;13
529521;4036O198S0234;23
898116;ZT5YD326K414O;25
811323;J1LM71D1DL6LL;28
545620;KZL3KKS576CEZ;11
995630;2PGKE39TU1N15;11
602212;9AY0LFL8D4DE4;11
384530;L976EQ5JQ8GLO;22
441441;13TBYK0EY5ZRW;5
653189;GPYM9X672O221;15
722654;95722615DX109;10
916397;X025CAOTYL3B5;21
893809;06ROBKTU8R436;13
663350;9HB681BWJGGFJ;26
487772;C4687078O09N8;9
477010;72JLB30568429;5
833778;5KK0481315306;22
390650;X9Q131NA1H1Z2;18
309726;3531154265S92;15
253195;RV043KNA42T0V;22
817569;Z41A4G50Y5B81;23
927039;456D5EO4TAD65;4
651787;GV2Y2OE8C2KD8;16
329818;6E39AGDZH9693;15
609890;N229L71NP10OF;9
955290;0FS45EH17HQH1;28
332573;EIIDY20F8N62Z;6
638649;081VU7UV6Y5K9;15
969653;2W66GESZ25DUW;8
651967;4HS67C6U2D296;19
414642;YIS9HH020KHDD;9
605564;6QQD0XSW00EL7;4
602163;Q114TUCL78311;18
479569;URY1F423DS1W3;7
290830;L4TA5IO81G575;7
576825;30KY4VX7CW605;30
1010943;3651QPV2468Z4;30
862378;EMC7V449CJW3N;7
513668;S178E8VZ34P9Q;4
220333;O419L9I60P5YU;11
873649;F6MIHGGJP1X1V;19
262057;QN825439OCZ4U;2
665696;LN3HHTHQ156UA;25
637329;H8S0G00X8QTE4;26
877587;IZOY0J692L8J7;20
456228;59TOCEGKZ81KJ;24
255247;5BZ6538QP9DD4;6
345117;A2789FJ491VY1;28
607234;WOWGL6E448IK9;15
780836;P6A51J1ZED0K1;10
912259;3RJ49OD47430E;2
633732;7O4Y7H26115SZ;2
783793;C3228FJ305388;3
518656;X1D6TAJ7E6J13;30
832859;9916L7943S8U0;9
983665;1PRVLL0GC01JZ;7
439575;AO232C499K939;28
889422;82NL63PR7Q89M;10
249164;44CN69AGEN50J;12
931501;N9C52WJ9341O5;19
289849;SA0LTW48RBAU6;6
887743;OUV5WNUP69YUA;22
423549;S861S429O0PD0;8
894415;5WU7276RCJ6J1;25
929583;OH56SR1OD40YZ;7
518655;42JXU39U258B5;1
334181;C465777X90Z0I;30
406498;A170548758462;6
874153;CM08BF8W34Q5B;26
387318;CW52C397XFRBK;14
325079;2W48MMWLZ5V8R;25
858207;54FFU2BG5T8H1;22
558004;T7BVB5V1397T1;7
865666;TT46BVL28E345;26
538608;N4F968P9V3G18;27
710297;43528Z90EK0NY;24
353959;AE35RXP8P4JJC;15
903818;D8AS056RVFVIS;13
309832;8M44YJ27Q75SG;30
333386;J1512U6QDZ1H8;29
523699;P03NVZ2GWW424;9
641064;3K1606CQ82U6R;24
363886;T0IYQ22TWTZQB;15
898308;VQ0ZC7G8F242H;29
719345;34XMG257P1Y13;5
863321;VE7862A0QG4S8;7
772651;Q3456P00X0I26;25
853759;0R1R1R335D083;7
519658;00YO1674Q3970;21
259284;LZ916Q2EX1Z0P;27
683717;X2XLIN2IAWI7R;10
956614;J4P25L9PXTL61;30
440896;44I140CSJP594;15
505607;FQWFN00THZ737;29
310464;6ANV454NQS60P;10
904323;KDVCUAE42N394;27
768146;32LNT88392ME1;25
992750;G726955QPD43W;22
852937;M6J2FJ9Q4X96T;14
713931;3332056SISOCS;19
812893;AUI5C8BO1F26E;23
436938;HJII4Z0Y4XS47;18
231925;1H175238H881E;16
560593;88183TCUT0258;5
268089;T075CI5S0D622;27
796197;K1A5KFFQOWEET;16
407354;I5ZZ6RGRP3L98;16
1014022;XPR9U7OZZ056K;6
723887;HBQK1Z12IBQQ4;21
286414;E1EQ4L08BC86W;3
917645;SQP8JL5K23G93;26
415189;UFM9H6HLB1AIO;16
981167;VQM9I47WA944D;21
666278;HQ5IE5X501I45;29
546113;F8K43SX18YVQQ;16
592902;IV1BERY6W4A7N;25
756372;S9L54257098U5;7
402449;6BR9L12P777J1;21
292756;82XK5H0WO43JS;14
723558;9GG8B2Q3R51FA;24
277946;81VLBY91565KD;14
606205;BLO728H240PIZ;24
525210;Q1UR91KRR7247;23
583436;V7UVN8U2T959W;14
1009442;4B7ZNU713C1G1;25
441354;4247L7F7AJ674;27
550383;7E9F57N36661V;22
568451;7W71QEC47LGD3;1
340668;996NIEJ9I5P88;7
684742;1HQ8G41NH6B25;6
269619;12QC314116036;17
316415;K6X1KYB9862U6;17
798376;T7NK250VH4JS6;25
960314;0DO6229D020JX;30
459411;99P9Z4GI68LZ8;5
686821;7788G1AX7I9XI;11
601740;82PW0L5FL7VW7;27
809726;KLD3600V774UB;13
524074;P55093N6WOI2W;8
915587;UCIF2574K21B7;23
307296;25170H1967LVV;4
807491;58L07Y4BB1T2N;2
764251;5O6CY15105X5X;24
795016;20U86U8OV3XXT;30
988284;0N2J5659VNJ31;30
607564;EH7W1Z8OVU2BQ;22
801759;0XKSKTJY7I502;11
869706;0B5BJ99E2J4I2;1
834072;18S5XUCX0659M;2
604761;VR2G662E02B1Z;19
687133;P7K36QX4E821S;2
407479;4K6M2H2L2A7E0;14
752544;V4G72C3052IQG;21
911467;6F1V7RWJ3Z52M;9
632370;90S0W7RDLN814;27
357668;Z78AG35TQI3CL;18
927788;GC59MOH909YX7;16
734999;CGQ6RM2EUVVOV;3
473283;9428EJIA3NJ31;25
258417;9EL278245FS88;27
593416;Y3T6P6B44QK97;24
848475;F7OC4029D492J;19
251464;524626631PZ0S;21
479922;K602E0ZM5987K;30
691195;8NXAB43H19LZ4;3
851539;G46R5FX6J1056;25
944852;Z6779ZQ547E11;5
311240;2I042EWI4H7DP;5
376786;22S6Y8FOSDHD1;3
968078;9UU8JBK8IB8S5;7
475439;418BTM7O1H6QZ;11
