id_bodega;id_producto;cantidad
15275;0Q07038L5SK97;57
17338;QQ9M2T1RA7N3L;96
16188;3QJ697R95ZCOM;78
13211;213O032WPG6F8;31
12991;2Y851PK1291VW;43
12724;QU3GC70HJ7953;38
12046;V1502Y4RJ8MAA;15
15475;4B78MK6OMAR94;24
11192;K64J472YYVALF;79
12441;03H301JVC9B10;30
15331;613Q194AQUQMC;11
16950;PPF1FODOE0PKH;32
13843;4FGVOP6U84LOF;88
16836;JC694S119OPAI;33
15811;YIPB92339UGNK;97
13139;7WMR7D4341HDM;96
16158;FS7MF5B4Q892O;10
16709;S68CKC4UQJC9K;15
10983;0XQ2S9M92SPO8;13
12070;UOK9V2W8AD8ZF;18
11636;9N2CMCP77S28Y;24
13623;83S4SX5D9F98L;80
15106;NQTBX520M92H3;75
11896;412J38OQX2N6Y;52
14040;KXAN4LH8011S8;89
10656;V1P81EQNLA0L9;55
14361;IJ87BZ4HA4Y3Q;20
14462;L836X84ZU42T1;99
17280;Q41K9107ZAV8H;59
15205;JR307OPUPU6Z6;43
15174;67VM4L8744W30;64
17148;9VH8AZNQ9BM36;71
11786;J3X8971M0UE57;51
11412;W3I2YMXW623PW;36
17371;W2K98OOS20OD9;83
16451;0I8C7K3TXDX59;55
15075;X250SX9RK76Y5;92
13961;CN6615H618444;42
15304;U0SDP00VRQRIS;85
15333;L0NFTA5L3B80A;11
17645;L305592059782;12
11790;5GA486M0D0H90;48
13881;5O96N46DP2C69;54
13749;DYDQ4Q40MS1W1;30
16286;E8TME9XZUZNC9;17
16519;Z5Y7S12X3JV9H;91
14811;63E53YW3DE0RY;62
16792;N8Q451417ZVAI;21
15753;7CO95DI3RNV30;65
14729;C6N32FMP0N63W;27
12220;7T3N61RHSXAO3;37
13881;20LGV6T01047O;37
14340;NG350960R1167;56
17720;PZ1XYR1JJ3PEU;29
13683;SX8JI9LLLLS67;70
11983;464X253FS6285;58
13800;KRI5TWH6928DZ;59
16219;127514GK5K92O;63
14204;M0Y16DM5104R0;23
12420;2Z6347352014S;88
17742;452NE2L1C8S80;54
13881;WH3QA52BY5TGB;57
17280;1DG06I8401X49;26
11126;8RR14Q403043K;22
11191;9X6AT76F4JK6Q;20
17265;W34856Q253X2E;34
16003;39ZK19I289W9J;99
13301;X250SX9RK76Y5;62
14175;CRKF3VC4NEP2H;30
14462;AG6771TO93461;57
13978;L2PO93C4P93P3;15
15039;RF445118DMPHI;20
13268;OY8687MA70731;35
18097;392219318E2K5;56
12989;5O4ZZXQOBU764;34
18080;ZFJ80L590FLL9;52
16084;MWA106244O40J;21
17147;5K758RE306KWB;57
16102;O464PQ726V050;31
16898;708UX4U16RZZJ;87
16911;FX8823XB5M5MR;59
10160;IA25C729BN4HC;66
12005;Q5F4967XGJZFU;31
16993;4K1U5Q0FUGT0A;78
12882;1PGGOZB607YY1;75
14942;MLAI2MVOV9J38;42
17886;KIWEV5PYEMC41;10
11749;31MO7Z86O760K;57
10166;2YMSAEL829S8W;11
17371;8OA15BDLW9G5A;63
13289;7OYKM70502LW2;33
16950;833G55F6K8THK;92
13511;21WMCA7ORSD27;48
15174;M0Y16DM5104R0;25
13686;D397Y5N85E3I2;51
14040;9695UQ2613G32;43
16835;9Q1HSVMSJ89C4;58
16886;YB777TRVAXSUH;29
15956;JTU5D55XI4N11;18
11651;M16T5WX5RI9YC;69
12136;7B933CY4M769G;100
10752;58W7HBV13PJ1L;88
15205;NG350960R1167;49
17458;8896JM6UF6D8U;44
16380;66GNRPWUH2S3Z;53
17286;0HKRWG59JXY69;14
15174;FGG6M29BF81XV;86
11628;27B83T5NR0H8J;35
17028;G0J308S030MVR;52
14356;1A2LM91D7XIB6;51
15958;7VN7N9ZO9A3G3;100
15415;PV9D03ETA2Z5J;53
14961;1304M201J77L2;14
11294;BGG8Y501OR253;42
10629;S1952FQHQY2S6;42
11913;SJVLI0V7WTGIZ;65
17618;05N06M36CRA87;34
15174;8896JM6UF6D8U;32
13105;B8173938J5YH6;80
13978;HA509VBKPHJ31;18
16109;171931571U251;23
13659;22L0MQP1K9931;56
14218;7L2C0P9HQ3ILP;30
12444;SG94U8VS297U0;41
15008;88721UH2252AB;36
12078;UB37T058O9PDJ;41
11701;YHO8M67YC07OU;49
12441;95722615DX109;48
10424;AJQ14W8CCDW1A;16
14642;CWHS1689316HD;47
