id_estante;id_producto;cantidad
5020;FBI5K7SU131H9;70
8651;OS310CQ5W946J;42
1580;2Y90Q3X308A7F;40
9594;MJY8UV6CE3UY0;87
4701;T4N2D1261TZYH;79
7405;71PB3Y6555839;45
4372;T65C06KG8V8WH;85
566;1NJ7CO00L58EB;24
5717;43J9ML0C23299;11
9579;5G0MAD36C7AE1;84
400;T4X65Z1I5417L;26
8649;D13JP6ZCSC20F;47
984;W2VA7A79TU422;54
329;9O5UUA7T0OS70;48
9078;25JIYSH19464T;58
5691;5LKJD8J6HQ54N;56
7022;VVDKIWI66EV1L;28
8782;6D2ED07V57K11;62
2704;H60936E6U522J;19
9925;Q27W93EIIO8W8;70
7247;BXU44689M4854;69
2535;50EW7I57D9C4R;41
7601;K8BKDT451TAMM;89
1933;APY0811DV56H2;49
8835;5WBG7A9KU57GB;36
3103;4512462TYN64I;23
9115;GJMB4DLO205V1;72
6310;Z5VTZXRT3C5A3;98
3196;1OS29B1N475UK;93
2375;H2ZS193A1BJ2D;82
2036;P3E9LW2OC6AGS;91
9872;VFW98N4H123NM;58
6026;WO81B60W09OHI;17
442;9M7SPR3FX5NSK;32
9035;S4T51J018AY02;93
3952;T628F0E9B979F;81
1937;7KCAJPSZ9V1NM;79
413;8YHSE8H4U5WQ2;39
6493;VMPR7684DQC66;61
7762;C327G1Q6J0W3D;15
8820;G4BB86WDE45S1;22
1034;11HQ8BW51S4AW;60
7916;7FLY9PMTN273W;12
2309;1159S27X49F71;77
5385;5STI5Z47593T2;65
7899;4KR0B6SJC0X4U;62
1656;2939647A6Q6L3;57
8285;VQA4K96T80UU0;100
6275;0OJUGK5057N8R;33
295;ED2TR5J8JZ0S5;24
8015;IR7AF841RXLQT;53
5390;1045PPX5P3E18;41
2713;883C3J1X98AF2;89
2618;EL997SQ4WR099;65
442;DGUVC40C9AYLF;37
7257;5QJ9FNQ858Y32;63
8960;X8745F8VX51QO;86
1828;169CP4D503355;15
2375;OFQQKLAP6H83V;61
4784;17M5QG9T867MT;34
4326;57N948XDSJS08;57
6271;0C4E01C902K78;71
295;2I6G3723PKRM7;81
1633;2H3A7Y408VQ8T;59
7745;1214OU608E0Z8;71
4871;78J8Z25DX95R1;88
200;AU3EK2KS19NQ5;97
4045;HINKSPC897777;43
6050;MEEHN342196W7;93
8734;644GI111U9P86;71
2759;RY82HUU4Z3ONK;71
225;MEEHN342196W7;24
6938;A61170ZCRG6FG;26
3008;VF0OV31ZE4FI5;53
5662;1H16G6W81T93X;67
6226;0U5X014C42Q80;65
4035;072064KOBK4TL;16
3274;2L6E05I3YP470;45
274;G0831H0K07FHL;16
7366;0SQ68YGCJFI91;49
8631;3MGHAS5SMUGXV;88
2896;A5112U6W19B61;33
9610;8G0190V30Q8UG;98
2261;D2DG3C0YXD568;37
5266;5T9A5PVTVS3U4;79
9731;FN27ETDD7O0AL;58
3237;928780JBA7N9N;73
7487;523288XH9S0SY;95
5662;GD315Y96S5KQR;98
7045;4816815660XWR;50
7388;I10QC3S956EJ2;90
7764;3WN7B4K9ZE2Y2;58
477;L511231N1SR7P;59
2275;5LAF4C63R6X91;93
5939;MY5YNO6KVOZWP;21
4317;1TJ3DEM0PE9X4;83
3856;J3M9QMD7EKIO8;48
3731;0O4R55T4X2P45;48
4039;9E55PD7W01WW8;99
8643;Y1QJ657M362R4;20
3331;G50F7544JQ3Y8;39
6740;1J376O7CN9914;51
6493;HTT8Y7O0729KQ;63
634;5ULG2JZ6V8NU8;81
7480;9V2C5AUMN5J3S;20
5404;RB5AUYTK1PDH8;37
4326;U3UBV084M6MFX;99
5675;G5MC5B4A85003;36
4387;XI41L038434V5;24
562;802M660B2S00C;66
6050;5ZCN4KTS0D80G;38
4853;03N44860RB442;61
4188;B43011L2E49AB;68
1817;D3O55K000MG23;68
4314;FN27ETDD7O0AL;46
4979;3RPOKH531I865;94
7916;28S94L77R3B2R;12
7207;LX08C15MP6010;52
9847;6F14J236XP9YN;31
3788;1N76XG7F6D67N;77
8653;H2G38438BYEF9;27
6502;246B5U0ZEUR14;94
3482;968L6C80810KX;35
7487;7S5DLXKSR9129;37
6625;I9F6819HM1VQ2;76
4060;B7228SXY24DAH;20
5524;36T4Z53B19892;40
3015;K62K558729DG5;75
4143;51F76DOPA38IN;37
3427;K5609EB7BYUD4;74
2164;A9P44E2Z9B181;50
2496;38WCQM341W0QO;15
5020;P0YA44ANO0ZKF;47
2516;N32G2LH1B4086;20
9712;3L45RI97U8WA5;69
4910;A2FXNVX7196G5;88
9353;HZ7PNPMO58B4T;47
7530;AOO1K0735IREA;100
5073;HYKJ0T1AV85L8;44
8215;8PB859D8UQ9E9;12
4956;QDUTJVX6OEA88;88
5403;6NG8935EL43S8;94
9353;AF6D3B0RYD7V1;92
2275;6W9ZTA9DN2OK2;54
9814;4BBRL6JDI4575;39
3197;26E3D8XK005W9;92
5467;HE79KOL3J2JF3;63
5390;GMJWYSRYJ7KHJ;18
8125;OQH373A1JD71Q;98
955;89997GX5A32JX;47
2845;6M61QZ628L7MY;40
9712;ZQV0NHN63H06J;17
920;038716357QHWU;71
6851;393G7USBF4HC6;10
4040;7Y4EVP5S57AY6;83
7480;UK6TAZ2632YA8;38
2221;XI1D2F8AP97NU;94
8302;42Y230T0R1YER;68
8920;4E3461ND68E03;17
